,,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OVERALL,2022-23,82.00,48.40,115.80,42.00,40.00,0.51,42.90,87.40,49.00,12.20,33.30,36.50,17.90,23.70,75.50,9.10,32.80,41.90,26.20,15.30,8.00,5.40,21.60,0.00
LOCATION,Home,41.00,48.50,115.90,22.00,19.00,0.54,42.70,88.10,48.50,12.30,34.80,35.50,18.10,23.40,77.30,9.00,32.90,41.90,26.00,15.60,7.90,5.50,21.70,0.90
LOCATION,Road,41.00,48.20,115.60,20.00,21.00,0.49,43.00,86.70,49.60,12.00,31.80,37.60,17.70,23.90,73.80,9.30,32.70,41.90,26.30,15.00,8.10,5.30,21.40,-1.00
WINS/LOSSES,Wins,42.00,48.10,120.40,42.00,0.00,1.00,44.70,86.40,51.70,13.20,33.20,39.70,17.90,24.00,74.60,8.30,33.50,41.80,28.30,14.70,8.90,5.30,21.70,9.40
WINS/LOSSES,Losses,40.00,48.60,110.90,0.00,40.00,0.00,41.00,88.40,46.30,11.10,33.40,33.20,17.90,23.30,76.50,10.00,32.00,42.00,23.90,16.00,7.10,5.50,21.40,-9.90
MONTH,October,7.00,48.70,115.10,4.00,3.00,0.57,43.60,93.30,46.70,10.90,34.10,31.80,17.10,23.10,74.10,12.40,36.60,49.00,25.40,14.70,8.60,5.90,20.10,2.00
MONTH,November,15.00,48.00,114.00,7.00,8.00,0.47,41.30,84.70,48.80,11.30,34.20,32.90,20.10,24.70,81.40,8.40,31.90,40.30,27.10,17.10,7.80,5.60,23.20,-2.30
MONTH,December,15.00,48.00,114.50,5.00,10.00,0.33,42.90,85.80,50.00,10.90,29.90,36.60,17.70,23.50,75.30,8.30,32.50,40.70,23.60,15.30,8.60,4.90,21.50,-2.30
MONTH,January,16.00,48.30,116.60,11.00,5.00,0.69,42.80,85.40,50.00,13.30,34.30,38.90,17.80,23.40,76.20,8.80,30.40,39.10,25.10,15.80,8.50,5.30,21.90,3.60
MONTH,February,11.00,48.50,116.70,5.00,6.00,0.46,44.10,91.10,48.40,12.90,36.20,35.70,15.60,21.40,73.20,9.40,33.50,42.90,26.00,15.40,7.70,6.20,20.70,-1.20
MONTH,March,14.00,49.10,116.80,7.00,7.00,0.50,43.10,88.60,48.60,12.60,32.60,38.80,18.00,25.10,71.60,9.70,33.10,42.90,28.70,13.90,7.50,4.80,22.00,-1.50
MONTH,April,4.00,48.00,119.00,3.00,1.00,0.75,43.50,86.80,50.10,14.00,32.30,43.40,18.00,24.30,74.20,8.30,36.30,44.50,29.30,13.50,6.30,6.80,17.50,7.00
PRE/POST ALL-STAR,Pre All-Star,61.00,48.20,115.70,31.00,30.00,0.51,42.80,87.00,49.20,11.90,33.50,35.60,18.20,23.50,77.30,9.10,32.30,41.40,25.50,15.70,8.10,5.30,21.80,-0.10
PRE/POST ALL-STAR,Post All-Star,21.00,48.70,116.00,11.00,10.00,0.52,43.00,88.60,48.60,12.90,32.80,39.20,17.00,24.20,70.50,9.30,34.10,43.40,28.20,14.20,7.70,5.80,20.80,0.00
DAYS REST,0 Days Rest,14.00,48.00,119.60,9.00,5.00,0.64,43.60,84.60,51.50,12.50,32.10,39.00,20.00,25.10,79.80,8.50,31.90,40.40,26.40,14.90,7.10,4.50,22.40,1.40
DAYS REST,1 Days Rest,51.00,48.50,114.30,24.00,27.00,0.47,42.40,87.40,48.50,12.00,33.50,35.90,17.50,23.50,74.50,8.90,32.50,41.50,25.70,15.30,8.00,5.70,21.70,-0.60
DAYS REST,2 Days Rest,12.00,48.40,115.80,5.00,7.00,0.42,43.60,88.70,49.20,11.60,33.00,35.10,17.00,22.60,75.30,9.80,32.70,42.50,26.80,16.10,8.90,5.30,20.50,-1.60
DAYS REST,3 Days Rest,3.00,48.00,123.70,3.00,0.00,1.00,44.70,91.30,48.90,16.30,35.30,46.20,18.00,24.30,74.00,12.00,36.30,48.30,30.70,15.70,11.00,4.00,19.70,9.70
DAYS REST,4 Days Rest,1.00,48.00,115.00,1.00,0.00,1.00,39.00,94.00,41.50,10.00,38.00,26.30,27.00,33.00,81.80,14.00,41.00,55.00,25.00,14.00,6.00,5.00,21.00,7.00
DAYS REST,6+ Days Rest,1.00,48.00,113.00,0.00,1.00,0.00,46.00,93.00,49.50,11.00,33.00,33.30,10.00,16.00,62.50,7.00,38.00,45.00,25.00,16.00,6.00,11.00,20.00,-8.00